title,year
Bohemian Rhapsody,2018
The Favourite,2018
Green Book,2018
A Star Is Born,2018
Roma,2018
Incredibles 2,2018
Spider-Man: Into the Spider-Verse,2018
Avengers: Infinity War,2018
Deadpool 2,2018
A Quiet Place,2018
Cold War,2018
Titanic,1997
The Godfather,1972
Pulp Fiction,1994
The Lego Movie,2014
The Shawshank Redemption,1994
Harry Potter and the Sorcerer's Stone,2001
Mission: Impossible - Fallout,2018
Get Out,I) (2017
The Dark Knight,2008
Interstellar,2014
The Silence of the Lambs,1991
Thor: Ragnarok,2017
Inception,2010
Guardians of the Galaxy,2014
Aladdin,1992
Blade Runner 2049,2017
Casino Royale,2006
"Three Billboards Outside Ebbing, Missouri",2017
Avatar,2009
The Lord of the Rings: The Fellowship of the Ring,2001
Call Me by Your Name,2017
Inglourious Basterds,2009
La La Land,I) (2016
Jurassic Park,1993
The Incredibles,2004
Schindler's List,1993
The Matrix,1999
Forrest Gump,1994
Searching,III) (2018
The Wolf of Wall Street,2013
The Notebook,2004
Gone Girl,2014
Love Actually,2003
Guardians of the Galaxy Vol. 2,2017
How to Train Your Dragon,2010
Sicario,2015
The Departed,2006
Django Unchained,2012
Isle of Dogs,2018
Watchmen,2009
Baby Driver,2017
Wonder,I) (2017
Terminator 2: Judgment Day,1991
The Godfather: Part II,1974
Deadpool,2016
Apocalypse Now,1979
Logan,2017
How to Train Your Dragon 2,2014
The Revenant,2015
Room,I) (2015
The Green Mile,1999
In the Heat of the Night,1967
Harry Potter and the Deathly Hallows: Part 2,2011
Creed,2015
No Country for Old Men,2007
Zodiac,2007
The Hangover,2009
The Princess Bride,1987
Mad Max: Fury Road,2015
The Dark Knight Rises,2012
The Girl with the Dragon Tattoo,2011
Pride & Prejudice,2005
Requiem for a Dream,2000
Goodfellas,1990
West Side Story,1961
Lion,2016
The Avengers,2012
Dunkirk,2017
The Lord of the Rings: The Return of the King,2003
Ex Machina,2014
The Hateful Eight,2015
The Big Lebowski,1998
The Lion King,1994
Tombstone,1993
The Big Short,2015
Nightcrawler,2014
Back to the Future,1985
Hacksaw Ridge,2016
The Shining,1980
The Goonies,1985
The Warriors,1979
Prisoners,2013
Se7en,1995
The Prestige,2006
Harry Potter and the Goblet of Fire,2005
Eternal Sunshine of the Spotless Mind,2004
Fight Club,1999
Gladiator,2000
Coco,I) (2017
Léon: The Professional,1994
American Gangster,2007
Rogue One: A Star Wars Story,2016
"Love, Simon",2018
Casablanca,1942
Wind River,2017
American Beauty,1999
Alien,1979
The Terminator,1984
The Breakfast Club,1985
Taxi Driver,1976
Star Wars,1977
The Martian,2015
Whiplash,2014
Arrival,II) (2016
Big Fish,2003
Hell or High Water,II) (2016
The Grand Budapest Hotel,2014
Silver Linings Playbook,2012
Jaws,1975
Taken,I) (2008
Her,2013
The Intouchables,2011
Good Will Hunting,1997
Skyfall,2012
12 Years a Slave,2013
Captain America: Civil War,2016
The Social Network,2010
Raiders of the Lost Ark,1981
Dances with Wolves,1990
Pan's Labyrinth,2006
Fury,2014
Zootopia,2016
Saving Private Ryan,1998
The Hobbit: An Unexpected Journey,2012
Mary Poppins,1964
Wreck-It Ralph,2012
A Clockwork Orange,1971
Moana,I) (2016
Blade Runner,1982
American Psycho,2000
Lawrence of Arabia,1962
300,2006
Heat,1995
Black Hawk Down,2001
Birdman or (The Unexpected Virtue of Ignorance),2014
As Good as It Gets,1997
Shutter Island,2010
Dazed and Confused,1993
Spotlight,I) (2015
Harry Potter and the Prisoner of Azkaban,2004
One Flew Over the Cuckoo's Nest,1975
Predator,1987
Zombieland,2009
Hidden Figures,2016
Once Upon a Time in the West,1968
Contratiempo,2016
Psycho,1960
The Help,2011
Apocalypto,2006
Rocky,1976
Stand by Me,1986
Donnie Darko,2001
Star Trek,2009
What We Do in the Shadows,2014
Andhadhun,2018
Atonement,2007
About Time,I) (2013
Ghostbusters,1984
The Usual Suspects,1995
True Romance,1993
Kingsman: The Secret Service,2014
Batman Begins,2005
American History X,1998
Iron Man,2008
True Grit,2010
Mulan,1998
Drive,I) (2011
12 Angry Men,1957
Blue Is the Warmest Color,2013
Snatch,2000
Star Wars: Episode VII - The Force Awakens,2015
Platoon,1986
Ocean's Eleven,2001
Remember the Titans,2000
The Lord of the Rings: The Two Towers,2002
Tangled,2010
The Boy in the Striped Pajamas,2008
The Sixth Sense,1999
Aliens,1986
Black Swan,2010
Kill Bill: Vol. 1,2003
Brokeback Mountain,2005
"The Good, the Bad and the Ugly",1966
Once Upon a Time in America,1984
The Fifth Element,1997
Edge of Tomorrow,2014
X-Men: Days of Future Past,2014
The Pianist,2002
Memento,2000
Your Name.,2016
Braveheart,1995
The Remains of the Day,1993
Harry Potter and the Deathly Hallows: Part 1,2010
Stardust,2007
Sin City,2005
Manchester by the Sea,2016
Captain Fantastic,2016
Spirited Away,2001
Reservoir Dogs,1992
Scarface,1983
The Truman Show,1998
Toy Story 3,2010
There Will Be Blood,2007
Kick-Ass,2010
Captain America: The Winter Soldier,2014
The Sound of Music,1965
2001: A Space Odyssey,1968
Fargo,1996
